CpuName,Price
AMD Athlon II X4 631,14.0
Intel Pentium G850,129.0
Intel Pentium E6600,2.0
Intel Pentium G4500,19.0
Intel Core i5-2500,34.0
Intel Core i7-9750H,367.0
AMD Athlon II X3 425,79.0
AMD Athlon II X3 460,8.0
Intel Core i7-4771,125.0
Intel Core i7-5930K,335.0
Intel Core i5-4430,152.0
AMD Ryzen Threadripper 1920X,209.0
AMD Ryzen Threadripper 1950X,5899.0
Intel Core i5-9400F,152.0
AMD Ryzen 7 3800X,269.0
Intel Core i9-9900KS,545.0
Intel Core i9-9980XE,1463.0
Intel Core i9-9900X,308.0
Intel Core i9-8950HK,2047.0
Intel Core i3-7350K,116.0
Intel Core i3-6300,89.0
Intel Pentium G4620,165.0
AMD Athlon II X4 641,355.0
Intel Core i5-8300H,999.0
Intel Core i7-7820X,440.0
Intel Pentium P6200,18.0
Intel Pentium G3420,52.0
Intel Core i9-9960X,699.0
Intel Core i9-9940X,1282.0
Intel Core i7-3610QM,599.0
Intel Core i5-2320,695.0
AMD Athlon II X3 435,79.0
Intel Pentium G2120,81.0
Intel Core i5-480M,270.0
AMD Athlon X2 7750 BE,79.0
Intel Core i7-6700T,184.0
Intel Core i7-7700T,155.0
Intel Core i5-3470S,199.0
Intel Core i5-760,13.0
Intel Core i5-4670,147.0
AMD Athlon 64 X2 3800+,3.0
Intel Pentium G2010,12.0
Intel Core i3-4010U,308.0
Intel Core i7-950,15.0
Intel Core i5-5257U,99.0
Intel Core i5-3550,34.0
Intel Core i7-5600U,145.0
Intel Core i7-930,429.0
AMD FX-8100,49.0
Intel Core i3-3225,8.0
Intel Pentium G3460,147.0
Intel Pentium Gold G5500,110.0
Intel Core i7-4930K,250.0
Intel Core i5-7600,145.0
AMD Athlon II X4 615e,79.0
Intel Pentium Dual-Core E2180,60.0
Intel Core i7-7800X,205.0
AMD Ryzen Threadripper 1900X,89.0
Intel Core i3-4360,80.0
Intel Core i7-860,399.0
Intel Pentium G840,154.0
Intel Core i5-460M,60.0
Intel Core i5-430M,270.0
AMD Athlon II X2 280,29.0
AMD Athlon II X2 265,60.0
Intel Core i7-4810MQ,399.0
Intel Pentium Dual-Core T4300,154.0
Intel Core i5-3450,60.0
Intel Core i7-870,195.0
Intel Core i3-2105,39.0
Intel Pentium G640,147.0
AMD Athlon II X3 400e,79.0
Intel Core i3-4000M,305.0
Intel Pentium 3550M,154.0
Intel Pentium B950,339.0
Intel Pentium G870,154.0
Intel Pentium G6950,82.0
Intel Core i7-4710MQ,849.0
Intel Core i5-2400S,110.0
Intel Core i7-5775C,26.0
Intel Core i7-980X,101.0
Intel Core i7-4820K,384.0
Intel Core i3-4150T,60.0
Intel Pentium G2130,154.0
Intel Core i3-5010U,119.0
Intel Pentium G3450,53.0
Intel Core i5-8500,128.0
Intel Core i7-2700K,111.0
AMD Athlon II X2 235e,79.0
Intel Core i3-560,60.0
Intel Core i7-3537U,54.0
AMD Athlon X2 4450e,79.0
Intel Core i3-3220T,147.0
Intel Core i5-2310,60.0
Intel Core i7-980,60.0
Intel Core i7-960,59.0
Intel Core i5-2300,60.0
Intel Core i3-8300,60.0
Intel Core i7-9700,354.0
Intel Core i7-9700F,279.0
Intel Core i7-9700KF,208.0
AMD A4-5150M,219.0
Intel Pentium E6300,60.0
AMD Athlon 64 X2 3600+,60.0
Intel Core i9-9980HK,11384.0
Intel Pentium G4560T,36.0
Intel Core i5-9400,152.0
Intel Core i5-7640X,311.0
Intel Core i7-6950X,164.0
Intel Pentium Gold G5600,154.0
Intel Core i5-2550K,60.0
Intel Core i5-9600KF,150.0
Intel Core i3-8130U,1499.0
AMD Athlon 240GE,79.0
Intel Core i7-3970X,34.0
Intel Core i5-2380P,270.0
Intel Core i7-3960X,1808.0
Intel Pentium G2020T,60.0
Intel Core i5-8600,130.0
AMD Ryzen 5 2500X,49.0
