GpuName,Price
NVIDIA GeForce 8800 GTS 320,153.0
AMD Radeon HD 8750M,385.0
AMD Radeon R7 M265,249.0
NVIDIA GeForce GT 625 OEM,424.0
AMD Radeon HD 6990,550.0
NVIDIA GeForce GT 525M,424.0
NVIDIA GeForce GTX 960M,649.0
NVIDIA GeForce GT 550M,22.0
NVIDIA GeForce GTX 460M,219.0
NVIDIA GeForce GT 520MX,99.0
NVIDIA Quadro 2000M,144.0
NVIDIA GeForce GT 540M,1.0
NVIDIA GeForce GT 755M,599.0
NVIDIA GeForce MX130,512.0
AMD Radeon HD 8850M,81.0
AMD Radeon R7 M260,299.0
NVIDIA GeForce 840M,999.0
NVIDIA GeForce GTX 570M,199.0
NVIDIA GeForce GTX 560M,699.0
NVIDIA GeForce GTX 660M Mac Edition,149.0
NVIDIA GeForce 910M,2999.0
AMD Radeon R5 M330,892.0
NVIDIA GeForce 930M,379.0
NVIDIA GeForce GTX 950M,699.0
Intel HD Graphics 5500,426.0
AMD Radeon Vega 8,129.0
NVIDIA GeForce GTX 1660 Ti Max-Q,2193.0
ATI Radeon HD 3650,59.0
NVIDIA GeForce GTX 1660 Ti Mobile,89.0
NVIDIA GeForce GTX 1650 Mobile,1209.0
AMD Radeon 540,345.0
AMD Radeon HD 7970,149.0
NVIDIA GeForce 315M,424.0
AMD Radeon HD 6850M,2095.0
AMD Radeon HD 6490M,6.0
AMD Radeon HD 6770M,2.0
AMD Radeon HD 6470M,22.0
NVIDIA NVS 4200M,75.0
NVIDIA GeForce 410M,2999.0
NVIDIA GeForce GT 710M,200.0
NVIDIA GeForce 710M,14.0
NVIDIA GeForce GT 730M,150.0
AMD Radeon HD 6370M,22.0
NVIDIA GeForce MX110,1899.0
AMD Radeon R5 M255,299.0
NVIDIA GeForce 830M,40.0
NVIDIA GeForce GT 820M,200.0
AMD Radeon HD 8490 OEM,9.0
AMD Radeon HD 7470M,74.0
AMD Radeon R5 M240,17.0
NVIDIA GeForce 9100,17.0
AMD Radeon HD 7450 OEM,74.0
ATI Radeon HD 4450,18.0
